DateTime,Lat,Lon
2009.08.25 17:00:53,72.813735,-128.751912
2009.08.26 17:00:36,72.908835,-128.525491
2009.08.27 17:00:35,73.022819,-127.872148
2009.08.28 17:00:36,73.046336,-127.751813
2009.08.29 17:00:37,73.063846,-127.973771
2009.08.30 17:00:35,73.064103,-128.006473
2009.08.31 17:00:36,72.978702,-127.893605
2009.09.01 17:00:35,72.975869,-127.725463
2009.09.02 17:00:36,72.972865,-127.818675
2009.09.03 17:00:35,72.994494,-127.584615
2009.09.04 17:00:51,72.990203,-127.608476
2009.09.05 17:00:36,72.790389,-127.38935
2009.09.06 17:00:51,72.686019,-127.455697
2009.09.07 17:00:37,72.574697,-127.50402
2009.09.08 17:00:34,72.663875,-127.662807
2009.09.09 17:00:35,72.649283,-128.002868
2009.09.10 17:00:35,72.797341,-128.271432
2009.09.11 17:00:37,72.945313,-128.330226
2009.09.12 17:00:35,73.119807,-128.298039
2009.09.13 17:01:05,73.14959,-127.901073
2009.09.16 17:01:37,73.006082,-127.1522
2009.09.17 17:00:35,73.108134,-126.953845
2009.09.18 17:00:35,73.041101,-127.502646
2009.09.19 17:00:36,72.991662,-128.222508
2009.09.20 17:00:35,72.946429,-128.486524
2009.09.21 17:01:03,73.036809,-129.127336
2009.09.22 17:00:35,73.030286,-129.218659
2009.09.23 17:00:36,73.037324,-129.256854
2009.09.24 17:00:51,73.117747,-129.548163
2009.09.25 17:00:36,73.020072,-129.644122
2009.09.26 17:00:35,72.941966,-129.593654
2009.09.27 17:00:36,72.932611,-129.558377
2009.09.28 17:00:54,72.920594,-129.421649
2009.09.29 17:00:53,72.914929,-129.341655
2009.09.30 17:00:34,72.914157,-129.296851
2009.10.01 17:00:35,72.863946,-128.812938
2009.10.02 17:00:35,72.804637,-128.355632
2009.10.03 17:00:43,72.80026,-128.088012
2009.10.04 17:00:36,72.845922,-128.178134
2009.10.05 17:01:05,72.902656,-128.453565
2009.10.06 17:00:39,72.754426,-128.572783
2009.10.07 17:00:44,72.589545,-128.64162
2009.10.08 17:00:35,72.531695,-128.843064
2009.10.09 17:00:36,72.402349,-128.393483
2009.10.10 17:00:35,72.468095,-127.996602
2009.10.11 17:00:43,72.627654,-128.075566
2009.10.12 17:00:35,72.718291,-127.898154
2009.10.13 17:00:38,72.782407,-127.503676
2009.10.14 17:00:36,72.751937,-127.734733
2009.10.15 17:00:35,72.764039,-127.624097
2009.10.16 17:00:35,72.720952,-127.822022
2009.10.17 17:00:35,72.687049,-128.05634
2009.10.18 17:00:49,72.59109,-128.142343
2009.10.19 17:00:50,72.60757,-128.549695
2009.10.20 17:00:40,72.51204,-128.550725
2009.10.21 17:00:38,72.390161,-128.483605
2009.10.22 17:00:54,72.285619,-128.740325
2009.10.23 17:00:35,72.247853,-129.142957
2009.10.24 17:00:52,72.234635,-129.583526
2009.10.25 17:00:54,72.267852,-129.916635
2009.10.26 17:00:53,72.392821,-130.136962
2009.10.27 17:00:34,72.264676,-130.723186
2009.10.28 17:00:51,72.234378,-131.313958
2009.10.29 17:00:37,72.084947,-131.667323
2009.10.30 17:00:36,71.856465,-131.839929
2009.10.31 17:00:35,71.526103,-132.294316
2009.11.01 17:00:51,70.996442,-132.329507
2009.11.02 17:00:35,70.76427,-132.405038
2009.11.03 17:00:35,70.662732,-132.841229
2009.11.04 17:00:51,70.54935,-132.925344
2009.11.05 17:00:36,70.344729,-133.480754
2009.11.06 17:00:34,70.359063,-134.206023
2009.11.07 17:00:35,70.174184,-134.83954
2009.11.08 17:00:37,70.032306,-135.350747
2009.11.09 17:00:34,69.900727,-135.594077
2009.11.10 17:00:46,69.933085,-135.56026
2009.11.11 17:00:50,69.981065,-135.410743
2009.11.12 17:00:52,70.109382,-135.394778
2009.11.13 17:00:35,70.166545,-135.303884
2009.11.14 17:00:52,70.117021,-134.885716
2009.11.15 17:00:53,70.098653,-134.196067
2009.11.16 17:00:34,70.044923,-133.525128
2009.11.17 17:00:41,70.003982,-133.368316
2009.11.18 17:00:51,70.045781,-132.989287
2009.11.19 17:00:50,70.196929,-132.699952
2009.11.20 17:00:36,70.235124,-132.699094
2009.11.21 17:00:35,70.249715,-132.699523
2009.11.22 17:00:35,70.236926,-132.396455
2009.11.23 17:00:35,70.279069,-132.072701
